nome,cpf,idade
Maria Cristina Silva Pereira,745.998.332-01,37
João da Silva Ferreira,621.478.745-20,55
Rogério Dourado Junior,985.447.336-12,27
Fábio Conceição Fortes,744.669.658-30,25
Paula Catarina do Amaral,441.365.221-45,30
Elizabete Lima e Araújo,695.998.332-44,36
Aline Maria Correia Paz,554.778.363-19,31
Christina Gonçalves Pinto,478.894.367-00,34
Carolina Andrade Pires,295.321.447-85,39
Paula Regina Santos Amaral,441.365.221-45,30
Epifanio Pontes,364.569.221-90,46
Antonio Igor Carvalho Queiroz,295.998.776-85,67
Anderson Batista Filho,445.987.632-50,61
